period_start,period_end,pair_name,best_entry_time,best_entry_call_price,best_entry_put_price,best_entry_combined_price,minutes_to_end_at_entry,best_exit_time,best_exit_call_price,best_exit_put_price,best_exit_combined_price,minutes_to_end_at_exit,profit,profit_pct,holding_period_seconds
2025-12-18 15:00:00,2025-12-18 15:15:00,SOL_CALL+SOL_PUT,2025-12-18 15:00:00,0.99,0.02,1.01,14.99,2025-12-18 15:00:09,0.49,0.5,0.99,14.84,-0.02,-1.98,9
2025-12-18 15:00:00,2025-12-18 15:15:00,SOL_CALL+XRP_PUT,2025-12-18 15:01:46,0.45,0.48,0.9299999999999999,13.22,2025-12-18 15:14:57,0.98,0.95,1.93,0.05,1.0,107.53,790
2025-12-18 15:00:00,2025-12-18 15:15:00,XRP_CALL+BTC_PUT,2025-12-18 15:05:54,0.42,0.47,0.8899999999999999,9.09,2025-12-18 15:11:44,0.52,0.72,1.24,3.26,0.35,39.33,350
2025-12-18 15:00:00,2025-12-18 15:15:00,XRP_CALL+ETH_PUT,2025-12-18 15:10:02,0.67,0.26,0.93,4.96,2025-12-18 15:11:42,0.52,0.68,1.2000000000000002,3.29,0.27,29.03,100
2025-12-18 15:00:00,2025-12-18 15:15:00,XRP_CALL+SOL_PUT,2025-12-18 15:05:25,0.31,0.21,0.52,9.57,2025-12-18 15:07:59,0.88,0.02,0.9,7.02,0.38,73.08,153
2025-12-18 15:00:00,2025-12-18 15:15:00,XRP_CALL+XRP_PUT,2025-12-18 15:00:09,0.5,0.51,1.01,14.84,2025-12-18 15:01:41,0.54,0.45,0.99,13.3,-0.02,-1.98,92
2025-12-18 15:15:00,2025-12-18 15:30:00,BTC_CALL+BTC_PUT,2025-12-18 15:23:58,0.73,0.27,1.0,6.02,2025-12-18 15:24:00,0.7,0.29,0.99,5.99,-0.01,-1.0,2
2025-12-18 15:15:00,2025-12-18 15:30:00,BTC_CALL+ETH_PUT,2025-12-18 15:23:50,0.69,0.06,0.75,6.16,2025-12-18 15:26:41,0.98,0.0,0.98,3.31,0.23,30.67,171
2025-12-18 15:15:00,2025-12-18 15:30:00,BTC_CALL+SOL_PUT,2025-12-18 15:21:24,0.56,0.05,0.6100000000000001,8.6,2025-12-18 15:26:41,0.98,0.0,0.98,3.31,0.37,60.66,317
2025-12-18 15:15:00,2025-12-18 15:30:00,BTC_CALL+XRP_PUT,2025-12-18 15:20:25,0.52,0.25,0.77,9.57,2025-12-18 15:26:41,0.98,0.01,0.99,3.31,0.22,28.57,375
